now is 1366227810, autocross is 1369465200, close is 1369252800, open is 1369641660
now is 1366227927, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366227927, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366227927, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366227927, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366227927, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366227927, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366227927, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366227927, autocross is 1383375600, close is 1383159600, open is 1383552060
now is 1366227928, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366227928, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366227928, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366227928, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366227928, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366227928, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366227928, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366227928, autocross is 1383375600, close is 1383159600, open is 1383552060
now is 1366227935, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366227935, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366227935, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366227935, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366227935, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366227935, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366227935, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366227935, autocross is 1383375600, close is 1383159600, open is 1383552060
now is 1366227940, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366227940, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366227940, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366227940, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366227940, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366227940, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366227940, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366227940, autocross is 1383375600, close is 1383159600, open is 1383552060
now is 1366227941, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366227941, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366227941, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366227941, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366227941, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366227941, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366227941, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366227941, autocross is 1383375600, close is 1383159600, open is 1383552060
now is 1366227953, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366227953, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366227953, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366227953, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366227953, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366227953, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366227953, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366227953, autocross is 1383375600, close is 1383159600, open is 1383552060
now is 1366227954, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366227954, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366227954, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366227954, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366227954, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366227954, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366227954, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366227954, autocross is 1383375600, close is 1383159600, open is 1383552060
now is 1366227960, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366227960, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366227960, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366227960, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366227960, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366227960, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366227960, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366227960, autocross is 1383375600, close is 1383159600, open is 1383552060
now is 1366227972, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366227972, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366227972, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366227972, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366227972, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366227972, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366227972, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366227972, autocross is 1383375600, close is 1383159600, open is 1383552060
now is 1366228030, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366228030, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366228030, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366228030, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366228030, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366228030, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366228030, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366228030, autocross is 1383375600, close is 1383159600, open is 1383552060
